series,episode,baker_first_name,baker_last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result,series_views
3,1,Victoria,NA,NA,NA,NA,Pear and Pecan,Blackbird Pie Cake,NA,NA,NA
3,2,Brendan,NA,NA,NA,NA,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",NA,NA,NA
3,2,Cathryn,NA,NA,NA,NA,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",NA,NA,NA
3,2,Danny,NA,NA,NA,NA,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,NA,NA,NA,NA
3,2,James,NA,NA,NA,NA,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",NA,NA,NA
3,2,John,NA,NA,NA,NA,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",NA,NA,NA
3,2,Manisha,NA,NA,NA,NA,Indian FlatbreadsItalian Flatbreads,NA,NA,NA,NA
3,2,Peter,NA,NA,NA,NA,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",NA,NA,NA
3,2,Ryan,NA,NA,NA,NA,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",NA,NA,NA
3,2,Sarah-Jane,NA,NA,NA,NA,Toasted Coconut and Lime RotisOatcakes,NA,NA,NA,NA
3,2,Stuart,NA,NA,NA,NA,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",NA,NA,NA
3,2,Victoria,NA,NA,NA,NA,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels",NA,NA,NA
3,3,Brendan,NA,NA,NA,NA,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",NA,NA,NA
3,3,Cathryn,NA,NA,NA,NA,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",NA,NA,NA
3,3,Danny,NA,NA,NA,NA,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",NA,NA,NA
3,3,James,NA,NA,NA,NA,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart",NA,NA,NA
3,3,John,NA,NA,NA,NA,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",NA,NA,NA
3,3,Manisha,NA,NA,NA,NA,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart,NA,NA,NA
3,3,Ryan,NA,NA,NA,NA,Spiced Pear Tarte Tatin,NA,NA,NA,NA
3,3,Sarah-Jane,NA,NA,NA,NA,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam,NA,NA,NA
3,3,Stuart,NA,NA,NA,NA,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart,NA,NA,NA
3,3,Victoria,NA,NA,NA,NA,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust,NA,NA,NA
3,4,Brendan,NA,NA,NA,NA,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",NA,NA,NA
3,4,Cathryn,NA,NA,NA,NA,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",NA,NA,NA
3,4,Danny,NA,NA,NA,NA,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",NA,NA,NA
3,4,James,NA,NA,NA,NA,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",NA,NA,NA
3,4,John,NA,NA,NA,NA,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova,NA,NA,NA
3,4,Manisha,NA,NA,NA,NA,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert,NA,NA,NA
3,4,Ryan,NA,NA,NA,NA,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue",NA,NA,NA
3,4,Sarah-Jane,NA,NA,NA,NA,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue,NA,NA,NA
3,4,Stuart,NA,NA,NA,NA,Black Forest Torte,Choca Blocka Mocha Meringue,NA,NA,NA
3,5,Brendan,NA,NA,NA,NA,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,NA,NA,NA
3,5,Cathryn,NA,NA,NA,NA,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie,NA,NA,NA
3,5,Danny,NA,NA,NA,NA,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie,NA,NA,NA
3,5,James,NA,NA,NA,NA,Four Pig Wellington,Sweet Potato Pie,NA,NA,NA
3,5,John,NA,NA,NA,NA,Venison and Haggis Wellington,Star-Spangled Pecan Pie,NA,NA,NA
3,5,Manisha,NA,NA,NA,NA,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie,NA,NA,NA
3,5,Ryan,NA,NA,NA,NA,Curry Spiced Seabass Wellington,Key Lime Pie,NA,NA,NA
3,5,Sarah-Jane,NA,NA,NA,NA,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie,NA,NA,NA
3,6,Brendan,NA,NA,NA,NA,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",NA,NA,NA
3,6,Cathryn,NA,NA,NA,NA,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel,NA,NA,NA
3,6,Danny,NA,NA,NA,NA,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel",NA,NA,NA
3,6,James,NA,NA,NA,NA,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel",NA,NA,NA
3,6,John,NA,NA,NA,NA,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury,NA,NA,NA
3,6,Ryan,NA,NA,NA,NA,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",NA,NA,NA
3,6,Sarah-Jane,NA,NA,NA,NA,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries,NA,NA,NA
3,7,Brendan,NA,NA,NA,NA,Chelsea Bunskis,Black Forest Christmas Stollen,NA,NA,NA
3,7,Cathryn,NA,NA,NA,NA,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche,NA,NA,NA
3,7,Danny,NA,NA,NA,NA,Bakewell Chelsea Buns,European Christmas Wreath,NA,NA,NA
3,7,James,NA,NA,NA,NA,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba,NA,NA,NA
3,7,John,NA,NA,NA,NA,Cherry and Almond Saffron Buns,Marzipan Stollen,NA,NA,NA
3,7,Ryan,NA,NA,NA,NA,Lardy Cakes,Char Siu Bao,NA,NA,NA
3,7,Sarah-Jane,NA,NA,NA,NA,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait,NA,NA,NA
3,8,Brendan,NA,NA,NA,NA,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House,NA,NA,NA
3,8,Cathryn,NA,NA,NA,NA,Cheese and Pickle Crackers,Gingerbread Buckingham Palace,NA,NA,NA
3,8,Danny,NA,NA,NA,NA,Spiced Almond Drinks Crackers,Gingerbread Big Ben,NA,NA,NA
3,8,James,NA,NA,NA,NA,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn,NA,NA,NA
3,8,John,NA,NA,NA,NA,Asian Spice Crackers,Gingerbread Roman Coliseum,NA,NA,NA
3,9,Brendan,NA,NA,NA,NA,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré,NA,NA,NA
3,9,Danny,NA,NA,NA,NA,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré,NA,NA,NA
3,9,James,NA,NA,NA,NA,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",NA,NA,NA
3,9,John,NA,NA,NA,NA,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion,NA,NA,NA
3,10,Brendan,NA,NA,NA,NA,Potato and Pepper Pithivier,Family Reunion Chiffon Cake,NA,NA,NA
3,10,James,NA,NA,NA,NA,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes,NA,NA,NA
3,10,John,NA,NA,NA,NA,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake,NA,NA,NA
4,1,Ali,NA,NA,NA,NA,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",NA,NA,NA
4,1,Beca,NA,NA,NA,NA,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,NA,NA,NA
4,1,Christine,NA,NA,NA,NA,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake,NA,NA,NA
4,1,Deborah,NA,NA,NA,NA,Pineapple Cake,'Coffee Time',NA,NA,NA
4,1,Frances,NA,NA,NA,NA,Giant Jam Sandwich,Secret Squirrel Cake,NA,NA,NA
4,1,Glenn,NA,NA,NA,NA,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake,NA,NA,NA
4,1,Howard,NA,NA,NA,NA,Passion Fruit and Coconut Cake,Black Forest Revisited,NA,NA,NA
4,1,Kimberley,NA,NA,NA,NA,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake",NA,NA,NA
4,1,Lucy,NA,NA,NA,NA,Timperley Early Cake,Thyme 'Wildwood' Cake,NA,NA,NA
4,1,Mark,NA,NA,NA,NA,Lemon and Poppy Seed Cake,Chocolate Monster,NA,NA,NA
4,1,Robert,NA,NA,NA,NA,Pecan and Apple Cake,Raspberry Chocolate Cake,NA,NA,NA
4,1,Ruby,NA,NA,NA,NA,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake,NA,NA,NA
4,1,Toby,NA,NA,NA,NA,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake,NA,NA,NA
4,2,Ali,NA,NA,NA,NA,Italian Grissini,Sweet and Savoury Yin Yang Bread,NA,NA,NA
4,2,Beca,NA,NA,NA,NA,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,NA,NA,NA
4,2,Christine,NA,NA,NA,NA,Mediterranean Breadsticks with Oregano,Double Plaited Loaf,NA,NA,NA
4,2,Deborah,NA,NA,NA,NA,Fennel & Chilli Breadsticks,Walnut Fleur Loaf,NA,NA,NA
4,2,Frances,NA,NA,NA,NA,Giant Matchsticks,Sailor's Knot,NA,NA,NA
4,2,Glenn,NA,NA,NA,NA,Rosemary and Parmesan Grissini,Harvest Crown,NA,NA,NA
4,2,Howard,NA,NA,NA,NA,Moroccan Breadsticks,Picasso Sun Bread,NA,NA,NA
4,2,Kimberley,NA,NA,NA,NA,Nigella Seed and Parmesan Breadsticks,Peace Bread,NA,NA,NA
4,2,Lucy,NA,NA,NA,NA,Grissini with Salt,Roast Tomato Bread,NA,NA,NA
4,2,Mark,NA,NA,NA,NA,Rosemary & Raisin Breadsticks,Sage & Garlic Plait,NA,NA,NA
4,2,Robert,NA,NA,NA,NA,Twisty Rye Bread Sticks,Tribute Loaf,NA,NA,NA
4,2,Ruby,NA,NA,NA,NA,Mexican Breadsticks,White Chocolate and Orange Peacock Bread,NA,NA,NA
4,3,Ali,NA,NA,NA,NA,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,NA,NA,NA
4,3,Beca,NA,NA,NA,NA,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,NA,NA,NA
4,3,Christine,NA,NA,NA,NA,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels,NA,NA,NA
4,3,Deborah,NA,NA,NA,NA,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies,NA,NA,NA
4,3,Frances,NA,NA,NA,NA,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,NA,NA,NA
4,3,Glenn,NA,NA,NA,NA,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers,NA,NA,NA
4,3,Howard,NA,NA,NA,NA,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,NA,NA,NA
4,3,Kimberley,NA,NA,NA,NA,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits,NA,NA,NA
4,3,Mark,NA,NA,NA,NA,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites,NA,NA,NA
4,3,Robert,NA,NA,NA,NA,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons,NA,NA,NA
4,3,Ruby,NA,NA,NA,NA,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,NA,NA,NA
4,4,Ali,NA,NA,NA,NA,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",NA,NA,NA
4,4,Beca,NA,NA,NA,NA,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,NA,NA,NA
4,4,Christine,NA,NA,NA,NA,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese,NA,NA,NA
4,4,Frances,NA,NA,NA,NA,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie,NA,NA,NA
4,4,Glenn,NA,NA,NA,NA,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese),NA,NA,NA
4,4,Howard,NA,NA,NA,NA,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan,NA,NA,NA
4,4,Kimberley,NA,NA,NA,NA,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie",NA,NA,NA
4,4,Robert,NA,NA,NA,NA,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms,NA,NA,NA
4,4,Ruby,NA,NA,NA,NA,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie",NA,NA,NA
4,5,Beca,NA,NA,NA,NA,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,NA,NA,NA
4,5,Christine,NA,NA,NA,NA,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower,NA,NA,NA
4,5,Frances,NA,NA,NA,NA,Millionaire Banoffee Bonus,Biscuit Buttons and Beads,NA,NA,NA
4,5,Glenn,NA,NA,NA,NA,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter,NA,NA,NA
4,5,Howard,NA,NA,NA,NA,Breakfast Traybake,Japanese Pagoda Tea Tower,NA,NA,NA
4,5,Kimberley,NA,NA,NA,NA,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack,NA,NA,NA
4,5,Robert,NA,NA,NA,NA,Blueberry & Orange Traybake,Dalek,NA,NA,NA
4,5,Ruby,NA,NA,NA,NA,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece,NA,NA,NA
4,6,Beca,NA,NA,NA,NA,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,NA,NA,NA
4,6,Christine,NA,NA,NA,NA,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød,NA,NA,NA
4,6,Frances,NA,NA,NA,NA,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches,NA,NA,NA
4,6,Glenn,NA,NA,NA,NA,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen,NA,NA,NA
4,6,Howard,NA,NA,NA,NA,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken,NA,NA,NA
4,6,Kimberley,NA,NA,NA,NA,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,NA,NA,NA
4,6,Ruby,NA,NA,NA,NA,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns,NA,NA,NA
4,7,Beca,NA,NA,NA,NA,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,NA,NA,NA
4,7,Christine,NA,NA,NA,NA,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,NA,NA,NA
4,7,Frances,NA,NA,NA,NA,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,NA,NA,NA
4,7,Glenn,NA,NA,NA,NA,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,NA,NA,NA
4,7,Kimberley,NA,NA,NA,NA,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",NA,NA,NA
4,7,Ruby,NA,NA,NA,NA,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts,NA,NA,NA
4,8,Beca,NA,NA,NA,NA,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,NA,NA,NA
4,8,Christine,NA,NA,NA,NA,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,NA,NA,NA
4,8,Frances,NA,NA,NA,NA,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",NA,NA,NA
4,8,Kimberley,NA,NA,NA,NA,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House,NA,NA,NA
4,8,Ruby,NA,NA,NA,NA,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot,NA,NA,NA
4,9,Beca,NA,NA,NA,NA,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake,NA,NA,NA
4,9,Frances,NA,NA,NA,NA,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake,NA,NA,NA
4,9,Kimberley,NA,NA,NA,NA,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake,NA,NA,NA
4,9,Ruby,NA,NA,NA,NA,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",NA,NA,NA
4,10,Frances,NA,NA,NA,NA,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake,NA,NA,NA
4,10,Kimberley,NA,NA,NA,NA,Chicken and Pig Pie,Languages of Love Wedding Cake,NA,NA,NA
4,10,Ruby,NA,NA,NA,NA,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake",NA,NA,NA
5,1,Chetna,NA,NA,NA,NA,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,NA,NA,NA
5,1,Claire,NA,NA,NA,NA,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes,NA,NA,NA
5,1,Diana,NA,NA,NA,NA,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,NA,NA,NA
5,1,Enwezor,NA,NA,NA,NA,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares,NA,NA,NA
5,1,Iain,NA,NA,NA,NA,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",NA,NA,NA
5,1,Jordan,NA,NA,NA,NA,Kawaii Frasier Swiss Roll,Lemon Drizzle Cakes with Blueberry and Lemon Curd,NA,NA,NA
5,1,Kate,NA,NA,NA,NA,Red Velvet and White Chocolate Swiss Roll,Mini Tiered Victoria Sponges,NA,NA,NA
5,1,Luis,NA,NA,NA,NA,Spanish Swiss Roll,Raspberry and Lemon Genoise Slices with Lemon Drizzles,NA,NA,NA
5,1,Martha,NA,NA,NA,NA,Tiramisu Swiss Roll,Mini Lemon and Thyme Drizzle Cakes,NA,NA,NA
5,1,Nancy,NA,NA,NA,NA,Coffee and Hazelnut Swiss Roll,Jaffa Orange Cakes,NA,NA,NA
5,1,Norman,NA,NA,NA,NA,Black Forest Swiss Roll,Almond and Raspberry Mini Cakes,NA,NA,NA
5,1,Richard,NA,NA,NA,NA,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes,NA,NA,NA
5,2,Chetna,NA,NA,NA,NA,Fenugreek and Carom Crackers,Day On The Beach,NA,NA,NA
5,2,Diana,NA,NA,NA,NA,Parmesan Triangles,"Express, First Class",NA,NA,NA
5,2,Enwezor,NA,NA,NA,NA,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,NA,NA,NA
5,2,Iain,NA,NA,NA,NA,Za'atar and Fig Biscuits,Wild West Scene,NA,NA,NA
5,2,Jordan,NA,NA,NA,NA,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack,NA,NA,NA
5,2,Kate,NA,NA,NA,NA,Parmesan and Apple Biscuits,Tea Time,NA,NA,NA
5,2,Luis,NA,NA,NA,NA,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon,NA,NA,NA
5,2,Martha,NA,NA,NA,NA,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene,NA,NA,NA
5,2,Nancy,NA,NA,NA,NA,Fennel and Rye Thins,Hansel and Gretel Scene,NA,NA,NA
5,2,Norman,NA,NA,NA,NA,Farthing Biscuits,Zulu Boats at Dawn,NA,NA,NA
5,2,Richard,NA,NA,NA,NA,Rosemary Seeded Crackers,Pirates!,NA,NA,NA
5,3,Chetna,NA,NA,NA,NA,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,NA,NA,NA
5,3,Diana,NA,NA,NA,NA,Rustic Picnic Rolls,Sharing Savoury Pinwheel,NA,NA,NA
5,3,Iain,NA,NA,NA,NA,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,NA,NA,NA
5,3,Jordan,NA,NA,NA,NA,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,NA,NA,NA
5,3,Kate,NA,NA,NA,NA,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread",NA,NA,NA
5,3,Luis,NA,NA,NA,NA,Opposites Attract Rolls,Roscón de Reyes,NA,NA,NA
5,3,Martha,NA,NA,NA,NA,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf,NA,NA,NA
5,3,Nancy,NA,NA,NA,NA,Cider and Walnut Crusty Rolls,'Full English' Stromboli,NA,NA,NA
5,3,Norman,NA,NA,NA,NA,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,NA,NA,NA
5,3,Richard,NA,NA,NA,NA,Rye and Cranberry Rolls,Pesto Pinwheel,NA,NA,NA
5,4,Chetna,NA,NA,NA,NA,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",NA,NA,NA
5,4,Diana,NA,NA,NA,NA,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,NA,NA,NA
5,4,Iain,NA,NA,NA,NA,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",NA,NA,NA
5,4,Kate,NA,NA,NA,NA,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska",NA,NA,NA
5,4,Luis,NA,NA,NA,NA,Pears in Puddings,Bakewell Alaska,NA,NA,NA
5,4,Martha,NA,NA,NA,NA,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska,NA,NA,NA
5,4,Nancy,NA,NA,NA,NA,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,NA,NA,NA
5,4,Norman,NA,NA,NA,NA,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,NA,NA,NA
5,4,Richard,NA,NA,NA,NA,Black Forest Chocolate Fondants,Tiramisu Baked Alaska,NA,NA,NA
5,5,Chetna,NA,NA,NA,NA,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,NA,NA,NA
5,5,Kate,NA,NA,NA,NA,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",NA,NA,NA
5,5,Luis,NA,NA,NA,NA,Tropical Manchester Tart,Four Fruity Seasons Tower,NA,NA,NA
5,5,Martha,NA,NA,NA,NA,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie,NA,NA,NA
5,5,Nancy,NA,NA,NA,NA,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,NA,NA,NA
5,5,Norman,NA,NA,NA,NA,Tarte au Citron,Pieful Tower,NA,NA,NA
5,5,Richard,NA,NA,NA,NA,Fig and Orange Tart,Three Course Autumn Pie Feast,NA,NA,NA
5,6,Chetna,NA,NA,NA,NA,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,NA,NA,NA
5,6,Kate,NA,NA,NA,NA,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes,NA,NA,NA
5,6,Luis,NA,NA,NA,NA,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill,NA,NA,NA
5,6,Martha,NA,NA,NA,NA,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,NA,NA,NA
5,6,Nancy,NA,NA,NA,NA,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,NA,NA,NA
5,6,Richard,NA,NA,NA,NA,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,NA,NA,NA
5,7,Chetna,NA,NA,NA,NA,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,NA,NA,NA
5,7,Kate,NA,NA,NA,NA,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,NA,NA,NA
5,7,Luis,NA,NA,NA,NA,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",NA,NA,NA
5,7,Martha,NA,NA,NA,NA,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,NA,NA,NA
